Host,Parasite,Weight
ENSG00000110719,PBANKA_072190,6
ENSG00000132361,PBANKA_021080,6
ENSG00000125531,PBANKA_021080,6
ENSG00000178814,PBANKA_021160,6
ENSG00000032742,PBANKA_140100,5
ENSG00000129197,PBANKA_140100,5
ENSG00000151665,PBANKA_140100,5
ENSG00000034533,PBANKA_140100,5
ENSG00000163902,PBANKA_140100,5
ENSG00000250510,PBANKA_140110,5
ENSG00000130159,PBANKA_140120,5
ENSG00000161016,PBANKA_140120,5
ENSG00000178163,PBANKA_140190,5
ENSG00000140471,PBANKA_140190,5
ENSG00000227500,PBANKA_140280,5
ENSG00000132361,PBANKA_140280,5
ENSG00000125531,PBANKA_140280,5
ENSG00000159792,PBANKA_140310,5
ENSG00000143552,PBANKA_140360,5
ENSG00000184840,PBANKA_140530,5
ENSG00000204160,PBANKA_140530,5
ENSG00000123610,PBANKA_140560,5
ENSG00000160051,PBANKA_140590,5
ENSG00000173991,PBANKA_140590,5
ENSG00000197136,PBANKA_140590,5
ENSG00000123064,PBANKA_140590,5
ENSG00000163956,PBANKA_140680,5
ENSG00000143552,PBANKA_140700,5
ENSG00000089693,PBANKA_140750,5
ENSG00000136770,PBANKA_140760,5
ENSG00000105401,PBANKA_140800,5
ENSG00000175467,PBANKA_140800,5
ENSG00000185896,PBANKA_140880,5
ENSG00000113732,PBANKA_140890,5
ENSG00000100596,PBANKA_140890,5
ENSG00000089693,PBANKA_140990,5
ENSG00000104805,PBANKA_140990,5
ENSG00000127948,PBANKA_140990,5
ENSG00000132361,PBANKA_141160,5
ENSG00000143552,PBANKA_141200,5
ENSG00000083750,PBANKA_141220,5
ENSG00000123143,PBANKA_141350,5
ENSG00000105737,PBANKA_141350,5
ENSG00000132361,PBANKA_141350,5
ENSG00000196453,PBANKA_141350,5
ENSG00000163655,PBANKA_141360,5
ENSG00000110719,PBANKA_141390,5
ENSG00000115307,PBANKA_141390,5
ENSG00000083750,PBANKA_141460,5
ENSG00000221983,PBANKA_141580,5
ENSG00000140990,PBANKA_141580,5
ENSG00000105401,PBANKA_141630,5
ENSG00000110011,PBANKA_141640,5
ENSG00000105401,PBANKA_141640,5
ENSG00000067836,PBANKA_141640,5
ENSG00000105618,PBANKA_141650,5
ENSG00000136522,PBANKA_141760,5
ENSG00000100568,PBANKA_141760,5
ENSG00000173264,PBANKA_141810,5
ENSG00000123064,PBANKA_141810,5
ENSG00000177732,PBANKA_141820,5
ENSG00000173264,PBANKA_141820,5
ENSG00000089693,PBANKA_141830,5
ENSG00000127948,PBANKA_141830,5
ENSG00000187566,PBANKA_141840,5
ENSG00000173991,PBANKA_141840,5
ENSG00000227500,PBANKA_141840,5
ENSG00000105229,PBANKA_141840,5
ENSG00000123064,PBANKA_141840,5
ENSG00000125531,PBANKA_141840,5
ENSG00000143552,PBANKA_141910,5
ENSG00000018280,PBANKA_142010,5
ENSG00000127884,PBANKA_142020,5
ENSG00000185105,PBANKA_142020,5
ENSG00000110011,PBANKA_142050,5
ENSG00000130159,PBANKA_142050,5
ENSG00000185753,PBANKA_142090,5
ENSG00000081386,PBANKA_142120,5
ENSG00000163655,PBANKA_142200,5
ENSG00000178814,PBANKA_142210,5
ENSG00000123064,PBANKA_142210,5
ENSG00000182718,PBANKA_142320,5
ENSG00000221983,PBANKA_142330,5
ENSG00000123349,PBANKA_142330,5
ENSG00000155287,PBANKA_142350,5
ENSG00000136770,PBANKA_142360,5
ENSG00000110719,PBANKA_142420,5
ENSG00000083750,PBANKA_142460,5
ENSG00000105401,PBANKA_142480,5
